tipo,titulo,direccion,precio,terreno,construccion,hab,baños,estac,pisc
Local En Venta,En Venta Local Comercial Ubicado En El C.C. PEÑON DEL FARO De Lecheria,"Sector Peñonal, Diego Bautista Urbaneja, Lechería, Anzoategui",25000.0,30.0,30.0,,,,False
Apartamento En Venta,"Apartamento Penhouse En Residencias Avenida, Puerto La Cruz","Principal de Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",14000.0,111.0,111.0,,,,False
Apartamento En Renta,Apartamento Vacacional En El Exclusivo Conjunto Residencial Marina Del Rey,"Diego Bautista Urbaneja, Lechería, Anzoategui",100.0,0.0,66.0,2.0,2.0,2.0,True
Apartamento En Renta,APARTAMENTO EN PUEBLO VIEJO,"Avenida Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",900.0,72.0,72.0,2.0,2.0,2.0,False
Casa Bote En Venta,Venta Casa Bote C,"00, Diego Bautista Urbaneja, Lechería, Anzoategui",99500.0,206.0,120.0,,,,False
Town House En Venta,TownHouse En Venta En La Ciudad De Lechería En El CR. Costa Del Sol.,"R - 8, Diego Bautista Urbaneja, Lechería, Anzoategui",150000.0,135.0,134.0,3.0,3.0,2.0,True
Penthouse En Venta,PH En Residencia Karla - Valentina,"Avenida Blvd, Diego Bautista Urbaneja, Lechería, Anzoategui",145000.0,475.0,475.0,4.0,4.0,2.0,True
Apartamento En Renta,Apartamento En El C.R Entremares,"Las Palmeras, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,56.0,56.0,,,,False
Oficinas En Venta,En Venta Oficina En Centro Comercial Plaza Mayor,"Diego Bautista Urbaneja, Lechería, Anzoategui",40000.0,41.0,41.0,,,,False
Apartamento En Venta,En Venta Bello Apartamento En Costa Guaica,"Av. Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",42800.0,88.0,88.0,2.0,2.0,2.0,False
Apartamento En Venta,CONJUNTO RESIDENCIAL LAS SALINAS,"prolongacon arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",45000.0,86.0,86.0,,,,False
Apartamento En Venta,"Apartamento En Obra Avanzada ,Conjunto Residencial Azulejos","lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",33800.0,85.0,85.0,3.0,2.0,2.0,False
Apartamento En Renta,"Moderno Apartamento En El C.R Marina Del Rey, Lechería Anzoátegui","Complejo Turistico el Morro Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,66.0,66.0,,,,False
Apartamento En Venta,Conjunto Residencial Rebecca,"lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,228.0,228.0,4.0,3.0,3.0,False
Casa En Venta,En Venta Casa En El Prestigioso Conjunto Residencial Las Villas. Lechería.,"Avenida Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",480000.0,1.0,600.0,,,,False
Apartamento En Venta,Hermoso Y Amplio Apartamento Amoblado Y Equipado Ubicado En Lechería,"Avenida R-8, Diego Bautista Urbaneja, Lechería, Anzoategui",260000.0,148.0,148.0,,,,False
Apartamento En Renta,Amplio Apartamento Planta Baja En Exclusivo Conjunto Residencial Siete Mares,"av r-8, Diego Bautista Urbaneja, Lechería, Anzoategui",1580.0,145.0,145.0,3.0,3.0,2.0,False
Apartamento En Venta,Apartamento En Venta Conjunto Residencial Venecia Lechera,"Avenida Nueva Esparta, cruce con Cerro Sur, sector Venecia Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",28000.0,85.0,85.0,,,,False
Apartamento En Venta,"Lechería, Res. Vista Bella. Av. Bolívar.","calle arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",130000.0,255.0,255.0,4.0,4.0,2.0,False
Apartamento En Renta,"En Alquiler Apartamento En Res, Coral Suites Con Excelente Ubicacion","av guzman lander, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,60.0,60.0,,,,False
Apartamento En Venta,Venta Hermoso Apartamento Conj Res Vistamar,"Intersección Av Jorge Rodríguez con la antigua via que conduce a Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",19800.0,67.0,67.0,,,,False
Town House En Venta,CENTURY21 VENECIA OFRECE VENTA TH MODERNO NEVADA PALACE CONJUNTO EXCLUSIVO LEC,"NEVERI, Diego Bautista Urbaneja, Lechería, Anzoategui",190000.0,230.0,230.0,5.0,2.0,3.0,False
Apartamento En Venta,En Venta Apartamento En Lechería. C.R. Puerto Banus,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",46000.0,72.0,72.0,2.0,2.0,1.0,True
Local En Venta,LOCAL EN VENTA O ALQUILER NEGOCIABLE,"peñon del faro, Diego Bautista Urbaneja, Lechería, Anzoategui",26000.0,10.0,24.0,,,,False
Apartamento En Venta,VENTA DE APARTAMENTO VILLASOL SUITES GOLF & BEACH,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",40000.0,53.0,53.0,,,,False
Apartamento En Venta,En Venta Apartamento En C.R Chimana Grande,"Avenida intercomunal, Diego Bautista Urbaneja, Lechería, Anzoategui",20000.0,81.0,81.0,3.0,2.0,1.0,False
Apartamento En Venta,Resedencia Flamingo,"R16, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,70.0,70.0,,,,False
Casa En Venta,"VENDO CASA EN CASAS BOTE A, Sector Aquavilla","Sector Aquavilla, Diego Bautista Urbaneja, Lechería, Anzoategui",220000.0,203.0,196.0,,,,False
Casa En Renta,Villa Ideal Para Vacacionar,"Avenida Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",1150.0,1.0,1.7,,,,False
Local En Venta,Local Comercial El Peñon,"peñon del faro, Diego Bautista Urbaneja, Lechería, Anzoategui",26000.0,21.0,21.0,,,,False
Apartamento En Venta,Apartamento Lecheria,"ARISMENDI, Diego Bautista Urbaneja, Lechería, Anzoategui",80000.0,125.0,125.0,,,,False
Apartamento En Venta,VENTA DE PRESTIGISO APARTAMENTO EN LAS MARINAS LECHERIAS,"COMPLEJOTURISTICO EL MORRO, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,112.0,112.0,,,,False
Apartamento En Venta,CENTURY21 VENECIA OFRECE APARTAMENTO VENTA PLANTA BAJA C.R LAS MARINAS LECHERIA,"avenida r8, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,90.0,90.0,2.0,2.0,1.0,False
