tipo,titulo,direccion,precio,terreno,construccion,hab,baños,estac,pisc
Apartamento En Renta,Alquiler Apartamento En Lecheria,"Calle Arismendi Sector Peñonal, Diego Bautista Urbaneja, Lechería, Anzoategui",350.0,56.0,56.0,,,,False
Oficinas En Renta,Comoda Oficina Equipada Y Amoblada,"Calle 1, Diego Bautista Urbaneja, Lechería, Anzoategui",600.0,75.0,75.0,,,,False
Apartamento En Renta,Disfruta De Unas Hermosas Vacaciones Con Vista Al Mar,"5, Diego Bautista Urbaneja, Lechería, Anzoategui",90.0,110.0,110.0,,,,False
Apartamento En Renta,Apartamento Con Vista Al Mar Con Acceso A La Playa,"Diego Bautista Urbaneja, Lechería, Anzoategui",60.0,42.0,42.0,1.0,1.0,1.0,True
Local En Renta,"Local Comercial C.C. Mar Pacífico, Piso 1 De 14m2 + Mezzanine, Lechería","Avenida Principal de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,14.0,14.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA PB ISLA MARINA LECHERIA,"Av la costa, Zona Hotelera, Cerro el morro, Diego Bautista Urbaneja, Lechería, Anzoategui",252000.0,164.0,164.0,,,,False
Casa En Venta,CASA EN VENTA TIPO VILLA LECHERIA,"Rio Viejo, Diego Bautista Urbaneja, Lechería, Anzoategui",630000.0,1.03,1.03,,,,False
Town House En Venta,VENTA DE TOWNHOUSE EN LECHERIA CAYO DE AGUA,"R-8, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,170.0,170.0,3.0,3.0,2.0,False
Casa En Venta,Hermosa Casa En El Prestigioso Conjunto Residencial Las Villas,"1, Diego Bautista Urbaneja, Lechería, Anzoategui",450000.0,1.045,618.0,7.0,7.0,7.0,True
Apartamento En Venta,Bello Apartamento Tipo Estudio En Los Estudios - Lecheria,"calle 3 Casco Central, Diego Bautista Urbaneja, Lechería, Anzoategui",24000.0,34.0,34.0,1.0,1.0,1.0,False
Casa En Renta,Hermosa Y Acogedora Casa En Las Villas Para Unas Vacaciones Increíbles,"Las villas, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,1.4,450.0,5.0,7.0,8.0,False
Casa Bote En Venta,Casa Bote Venta Lecheria Puerto La Cruz Inmobiliaria Century 21 Inverpropiedad,"SECTOR AQUAVILLA, Diego Bautista Urbaneja, Lechería, Anzoategui",230000.0,200.0,200.0,,,,False
Apartamento En Renta,Espectacular Apartamento Con Vista Al Mar En Alquiler Vacacional,"Diego Bautista Urbaneja, Lechería, Anzoategui",60.0,44.0,44.0,1.0,1.0,1.0,True
Town House En Renta,Espectacular Villa Con Vista De Los Canales Navegables Desde Su Propia Terraza,"Etapa 5, Diego Bautista Urbaneja, Lechería, Anzoategui",200.0,125.0,125.0,3.0,2.0,2.0,True
Apartamento En Venta,Cuenta Con Hermosa Vista Al Canal Navegable,"Diego Bautista Urbaneja, Lechería, Anzoategui",275000.0,130.0,130.0,,,,False
Town House En Renta,"Townhouse En CR Aguamarina, Lecheria.","av r9, Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,118.0,118.0,,,,False
Apartamento En Venta,Apartamento Dúplex En El Conjunto Residencial Plaza Marina,"R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",85000.0,108.0,108.0,,,,False
Town House En Venta,Moderno Townhouse En Venta En Exclusivo Conjunto Residencial,"Avenida Araguaney, Diego Bautista Urbaneja, Lechería, Anzoategui",155000.0,171.0,171.0,3.0,3.0,3.0,True
Apartamento En Venta,CLUB DE PLAYA MARINA & SPA,"Sector península, Diego Bautista Urbaneja, Lechería, Anzoategui",990000.0,375.0,375.0,,,,False
Casa Bote En Venta,Casa Bote A,"venecia, Diego Bautista Urbaneja, Lechería, Anzoategui",180000.0,225.0,220.0,,,,False
Apartamento En Renta,Apartamento En Alquiler En El Complejo Turístico El Morro C.R Marina Del Rey,"AV R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",650.0,66.0,66.0,2.0,2.0,1.0,True
Apartamento En Renta,Apartamento En Alquiler Con Vista Al Mar CR La Esmeralda,"Lido, Diego Bautista Urbaneja, Lechería, Anzoategui",70.0,43.0,43.0,1.0,1.0,1.0,True
Apartamento En Venta,Bello Apartamento Frente A Playa Mansa En El Conjunto Residencial El Palmar 97m2,"Playa Mansa, Diego Bautista Urbaneja, Lechería, Anzoategui",96000.0,97.0,97.0,3.0,2.0,2.0,False
Casa En Venta,CASA BOTE B EN VENTA LECHERIA COMPLEJO TURISTICO EL MORRO,"AV OCTAVIO CAMEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",410000.0,386.0,480.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA LECHERIA RES. MONARCA,"BOULEVARD, Diego Bautista Urbaneja, Lechería, Anzoategui",170000.0,110.0,110.0,3.0,2.0,2.0,True
Apartamento En Venta,"Apartamento En El Conjunto Residencial Sol Suites, Calle Arismendi De Lechería","Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",36000.0,47.0,47.0,,,,False
Apartamento En Renta,CONJUNTO RESIDENCIAL MARINA MAR,"avenida la costa, Diego Bautista Urbaneja, Lechería, Anzoategui",120.0,72.0,72.0,,,,False
Casa En Venta,CONJUNTO RESIDENCIAL LAS VILLAS,"octavio camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",950000.0,1.164,805.0,,,,False
Galpon En Venta,EN VENTA IDEAL LOCAL COMERCIAL EN LA PRINCIPAL DELECHERIA,"AV. PRINCIPAL, Diego Bautista Urbaneja, Lechería, Anzoategui",3000000.0,4.0,4.0,,,,False
Apartamento En Venta,APARTAMENTO CR KARLA-VALENTINA,"Boulevard de playa mansa, Diego Bautista Urbaneja, Lechería, Anzoategui",210000.0,200.0,200.0,4.0,5.0,2.0,True
Casa En Venta,"Conjunto Residencial Las Villas, Casa Campo De Golf","Diego Bautista Urbaneja, Lechería, Anzoategui",590000.0,1.027,527.0,,,,False
Casa En Renta,CASA EN ALQUILER CR CASAS BOTE B,"AV OCTAVIO CAMEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",2500.0,256.0,256.0,,,,False
Oficinas En Renta,Oficina Ubicada En El Edificio Torre BVC,"Av Intercomunal Jose Antonio Anzoategui ,, Diego Bautista Urbaneja, Lechería, Anzoategui",750.0,100.0,100.0,,,,False
Apartamento En Venta,Apartamento En Venta Conjunto Residencial Playa Mansa En Lecheria,"Calle 2 Con Carrera 6, Diego Bautista Urbaneja, Lechería, Anzoategui",300000.0,420.0,420.0,5.0,5.0,4.0,True
Apartamento En Venta,Conjunto Residencial Las Palmeras,"Av Tajali,, Diego Bautista Urbaneja, Lechería, Anzoategui",32000.0,51.0,51.0,,,,False
Apartamento En Venta,En Venta Apartamento Elegante Ubicado En Hermoso Conjunto Residencial Denev,"Calle Arismendi cruce con calle el Parque, Diego Bautista Urbaneja, Lechería, Anzoategui",80000.0,129.0,125.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA C.R LAS MARINAS,"AV OCTAVIO CAMEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,160.0,160.0,4.0,4.0,1.0,True
Apartamento En Venta,Century21 Las Olas BR Ofrece Para Venta Apartamento En Res. La Tortuga,"Av Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",92000.0,305.0,305.0,5.0,5.0,2.0,False
Town House En Venta,Century21 Las Olas BR Ofrece En Venta Hermoso Townhouse En Res. NEVADA PALACE,"avenida bolivar, convexa a calle neveri, Diego Bautista Urbaneja, Lechería, Anzoategui",248000.0,220.0,220.0,4.0,3.0,2.0,False
Town House En Venta,TownHouse Conjunto Residencial Bahia Mar,"Diego Bautista Urbaneja, Lechería, Anzoategui",105000.0,187.0,187.0,4.0,3.0,2.0,False
Apartamento En Venta,Conjunto Residencial Palmira - Lecheria,"Av. Americo Vespucio, Conector A, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,110.0,110.0,,,,False
Casa En Venta,En Venta Amplia Casa En La Urbanizacion Rio Viejo,"AVENIDA PRINCIPAL RIO VIEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",190000.0,820.0,300.0,3.0,3.0,5.0,False
Casa Bote En Venta,Casas Botes C,"Diego Bautista Urbaneja, Diego Bautista Urbaneja, Lechería, Anzoategui",280000.0,300.0,300.0,,,,False
Apartamento En Renta,Se Ofrece En Alquiler Mensual Y Diario,"R5, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,170.0,170.0,,,,False
Apartamento En Renta,Se Ofrece Alquiler Diario,"R5, Diego Bautista Urbaneja, Lechería, Anzoategui",180.0,170.0,170.0,,,,False
Apartamento En Renta,HERMOSO APARTAMENTO EN PUEBLO VIEJO,"Avenida Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,142.0,142.0,3.0,2.0,1.0,False
Apartamento En Renta,APARTAMENTO VACACIONAL EN VILLASOL SUITES,"AVENID AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",80.0,60.0,60.0,2.0,2.0,1.0,True
Apartamento En Renta,Precioso Apartamento Con Espectacular Vista Al Mar,"Intersección Boulevard de Playa Lido, Diego Bautista Urbaneja, Lechería, Anzoategui",70.0,68.0,68.0,2.0,2.0,1.0,True
Town House En Venta,En Venta Villa En El Conjunto Residencial Villas Martinique,"avenida R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,125.0,125.0,3.0,3.0,2.0,False
Apartamento En Venta,En Venta Apto En Residencias Kathyuska,"AVENIDA BOLIVAR, Diego Bautista Urbaneja, Lechería, Anzoategui",130000.0,125.0,125.0,3.0,3.0,2.0,False
Casa En Venta,Hermosa Villa Con Acabados De Lujo,"Avenida Daniel Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1300000.0,1.308,800.0,8.0,8.0,6.0,False
Casa En Renta,MODERNA Y MINIMALISTA VILLA EN ALQUILER,"Las villas, Diego Bautista Urbaneja, Lechería, Anzoategui",7000.0,1.36,700.0,6.0,7.0,8.0,True
Town House En Renta,HERMOSO TOWN HOUSE EN PUEBLO VIEJO,"Avenida Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",1350.0,57.0,126.0,3.0,2.0,1.0,True
Apartamento En Renta,"Hermoso Apartamento En Alquiler En Conjunto Res. Oasis, Sector Venecia, Lecheria","Sector Cerro Sur, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,94.0,94.0,2.0,2.0,2.0,True
Casa En Renta,Lujosa Casa Bote En Alquiler Vacacional,"Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,200.0,250.0,5.0,5.0,5.0,False
Casa En Venta,"Conjunto Residencial Las Villas, Vista Al Canal Principal","Av Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",930000.0,1.164,805.0,7.0,8.0,7.0,True
Apartamento En Venta,Espacioso Y Hermoso Apartamento Con Amplia Terraza,"Avenida Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",170000.0,310.0,220.0,3.0,3.0,3.0,True
Apartamento En Venta,APARTAMENTO EN VENTA EN EL CONJUNTO RESIDENCIAL LIDO SUITES,"Boulevard Lido, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,69.0,69.0,,,,False
Casa En Renta,Espectacular Mansión Vacacional En LAS VILLAS,"Las Villas, Diego Bautista Urbaneja, Lechería, Anzoategui",1600.0,1.445,663.0,6.0,6.0,6.0,False
Casa En Venta,Espectacular Mansión Conjunto Residencial LAS VILLAS,"Las Villas, Diego Bautista Urbaneja, Lechería, Anzoategui",1690000.0,1.445,663.0,6.0,6.0,6.0,False
Oficinas En Renta,ALQUILER DE LOCALES COMERCIALES CENTRO COMERCIAL G,"LA PEÑA CENTRO COMERCIAL G, Diego Bautista Urbaneja, Lechería, Anzoategui",180.0,20.0,20.0,,,,False
Penthouse En Venta,Penthouse Duplex De 272m2 Ubicado En El CR Ikabaru.,"Av. Principal de Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,272.0,272.0,5.0,5.0,4.0,True
Apartamento En Venta,Venta Apartamentoi En Marina Mar,"Avenida la Costa zona de hoteles y condominios del sector península del complejo turístico, Diego Bautista Urbaneja, Lechería, Anzoategui",175000.0,140.0,140.0,,,,False
Local En Venta,Se Vende Local Comercial En El Centro Comercial G,"Calle Pedregal lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",16000.0,22.0,22.0,,,,False
Apartamento En Venta,VENTA DE APARTAMENTO EN LECHERIA. CR GUAICA MAR II,"CALLE CAMAIGUANA CON CALLE EL DORADO, Diego Bautista Urbaneja, Lechería, Anzoategui",44000.0,87.0,87.0,3.0,2.0,2.0,True
Apartamento En Renta,Bellísimo Apartamento De 106 M2 En Ventana Al Mediterráneo,"Avenida Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,106.0,106.0,3.0,2.0,2.0,True
Town House En Venta,Conjunto Residencial Puerto Morro,"Diego Bautista Urbaneja, Lechería, Anzoategui",44000.0,70.0,231.0,,,,False
Casa Bote En Venta,Venta Casa Bote,"calle 1, Diego Bautista Urbaneja, Lechería, Anzoategui",550000.0,800.0,600.0,7.0,7.0,4.0,True
Apartamento En Venta,En Venta Carenero Yacht Club Penthouse (Piso 3),"Diego Bautista Urbaneja, Lechería, Anzoategui",290000.0,133.0,133.0,3.0,2.0,2.0,True
Casa En Venta,CASA EN VENTA EN LECHERIA C.R LAS VILLAS,"Av Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",800000.0,700.0,700.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA C.R LA CARACOLA,"Sector Peñonal, Diego Bautista Urbaneja, Lechería, Anzoategui",130000.0,177.0,177.0,,,,False
Local En Renta,Se Alquila Local Comercial En Lecheria,"Calle las Peñas, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,65.0,65.0,,,,False
Apartamento En Venta,MODERNO Y LINDO APARTAMENTO EN VENTA,"AV DIEGO BAUTISTA URBANEJA, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,110.0,110.0,2.0,2.0,2.0,False
Town House En Venta,En Venta Hermoso Y Moderno Townhouse En Costa Del Sol,"r-8, Diego Bautista Urbaneja, Lechería, Anzoategui",155000.0,135.0,135.0,,,,False
Local En Renta,"Local Comercial En El Centro Empresarial Mar Pacifico, Lechería","Calle Los Almendrones, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,98.0,98.0,,,,False
Local En Renta,Espacioso Local Comercial Ubicado En El Nivel Planta Baja,"Avenida Los Almendrones, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,48.0,48.0,,,,False
Casa En Venta,CASA EN VENTA EN LECHERIA C.R LAS VILLAS,"AV OCTAVIO CAMEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",650000.0,1.1,600.0,5.0,6.0,5.0,True
Apartamento En Venta,Bello Apartamento De 175 M2 Mas Terrazas En KAROL Lechería,"Avenida Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,180.0,180.0,4.0,3.0,2.0,False
Apartamento En Venta,"Apartamento En Venta En El Conjunto Residencial Sol Verde, Lecheria","calle arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",90000.0,128.0,128.0,3.0,2.0,1.0,False
Town House En Venta,Villa Pueblo Viejo 3 Niveles,"pueblo viejo, Diego Bautista Urbaneja, Lechería, Anzoategui",180000.0,130.0,130.0,,,,False
Apartamento En Renta,"Apartamento En Alquiler En El CR Costa Azul, Ubicado En Lecheria.","Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",530.0,131.0,131.0,3.0,3.0,2.0,True
Apartamento En Venta,Moderno Apartamento De 125 M2 En PUNTA CANAL,"Av. R-16, Lecheria, 6016, Diego Bautista Urbaneja, Lechería, Anzoategui",158000.0,125.0,125.0,3.0,2.0,2.0,False
Local En Venta,Galpon Para Hipertienda En Lecheria Av Principal,"Avenida ppal Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",1450000.0,1.928,950.0,,,,False
Casa En Venta,VILLA EN VENTA LECHERIA COMPLEJO TURISTICO EL MORRO,"Diego Bautista Urbaneja, Lechería, Anzoategui",1050000.0,1.542,700.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA PUEBLO VIEJO COMPLEJO TURISTICO EL MORRO,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",75000.0,67.0,54.0,,,,False
Casa En Venta,En Venta Hermosa Casa Conjunto Residencial Exclusivo Vientos Del Mar,"piritu, Diego Bautista Urbaneja, Lechería, Anzoategui",240000.0,3.0,266.0,4.0,5.0,7.0,False
Casa En Venta,CASA BOTE B EN VENTA LECHERIA COMPLEJO TURISTICO EL MORRO,"AV OCTAVIO CAMEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",320000.0,380.0,490.0,,,,False
Town House En Venta,Hermoso Townhouse Estilo Americano En El Conjunto Residencial Sun Way Village,"Anzoategui, Diego Bautista Urbaneja, Lechería, Anzoategui",135000.0,162.0,162.0,5.0,4.0,2.0,False
Local En Venta,LOCAL COMERCIAL EN AVENIDA PRINCIPAL DE LECHERIA,"Avenida principal de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",490000.0,604.0,604.0,,,,False
Casa En Venta,Casa En Venta Lecheria CR Las Villas,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1500000.0,1.36,700.0,,,,False
Local En Renta,Local En Alquiler C.C Caribbean Mall Lechería,"Av. Américo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",250.0,52.0,52.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA ISLA PARAISO COMPLEJO TURISTICO EL MORRO,"AV AMERICO VESPUCIO, PUERTO LA CRUZ, Diego Bautista Urbaneja, Lechería, Anzoategui",240000.0,152.0,136.0,,,,False
Apartamento En Venta,Apartamento En Venta En Lechería. En Exclusivo C. R. Terramar Villas,"AV. CAMEJO OCTAVIO, Diego Bautista Urbaneja, Lechería, Anzoategui",185000.0,150.0,150.0,,,,False
Casa En Venta,Casa En Lechería Sector Morro III,"Sector Morro III, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,200.0,165.0,,,,False
Town House En Venta,Conjunto Residencial Savannha Place,"Diego Bautista Urbaneja, Lechería, Anzoategui",85000.0,200.0,194.0,,,,False
Apartamento En Renta,Vacaciones Perfectas Frente Al Mar Bahia Bella,"Boulevard Playa Lido con calle 3 cruce con calle 5 de la ciudad de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",90.0,110.0,110.0,,,,False
Penthouse En Venta,PENT HOUSE EN MARINA DEL REY,"AVENIDA R16, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,82.0,116.0,3.0,3.0,1.0,False
Casa En Venta,Casa En Venta Lechería. Morro III,"Calle Neveri con calle Tamanaco, Diego Bautista Urbaneja, Lechería, Anzoategui",135000.0,395.0,177.0,,,,False
Penthouse En Venta,CASA EN VENTA EN LECHERIA C R PUERTO MORRO,"CONJUNTO RESIDENCIAL PUERTO MORRO, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,210.0,70.0,,,,False
Casa En Renta,Casa En Alquiler Vacacional En El CR Las Villas,"1, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,1.2,1.0,,,,False
